Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
11.03.2020 00:00:00;Vorarlberg;8;394297;3;15;12;3,043391;0;0;0;0
11.03.2020 00:00:00;Wien;9;1897491;19;64;32;1,686437;0;0;1;3
11.03.2020 00:00:00;Österreich;10;8858775;108;312;180;2,031884;0;0;2;11
12.03.2020 00:00:00;Burgenland;1;293433;0;6;6;2,04476;0;0;0;0
12.03.2020 00:00:00;Kärnten;2;560939;1;4;3;0,5348175;0;0;0;0
12.03.2020 00:00:00;Niederösterreich;3;1677542;4;56;40;2,384441;0;0;0;1
12.03.2020 00:00:00;Oberösterreich;4;1482095;16;71;55;3,710963;0;0;0;2
12.03.2020 00:00:00;Salzburg;5;555221;8;21;9;1,620976;0;0;1;4
12.03.2020 00:00:00;Steiermark;6;1243052;11;38;23;1,850285;0;0;0;0
12.03.2020 00:00:00;Tirol;7;754705;55;132;75;9,937657;0;0;0;2
12.03.2020 00:00:00;Vorarlberg;8;394297;2;17;15;3,804239;0;0;0;0
12.03.2020 00:00:00;Wien;9;1897491;1;65;48;2,529656;1;1;3;6
12.03.2020 00:00:00;Österreich;10;8858775;98;410;274;3,092978;1;1;4;15
13.03.2020 00:00:00;Burgenland;1;293433;3;9;6;2,04476;0;0;0;0
13.03.2020 00:00:00;Kärnten;2;560939;0;4;3;0,5348175;0;0;0;0
13.03.2020 00:00:00;Niederösterreich;3;1677542;24;80;41;2,444052;0;0;0;1
13.03.2020 00:00:00;Oberösterreich;4;1482095;31;102;71;4,790516;0;0;0;2
13.03.2020 00:00:00;Salzburg;5;555221;2;23;16;2,881735;0;0;0;4
13.03.2020 00:00:00;Steiermark;6;1243052;24;62;34;2,735203;0;0;0;0
13.03.2020 00:00:00;Tirol;7;754705;72;204;128;16,96027;0;0;0;2
13.03.2020 00:00:00;Vorarlberg;8;394297;9;26;16;4,057855;0;0;0;0
13.03.2020 00:00:00;Wien;9;1897491;16;81;48;2,529656;0;1;0;6
13.03.2020 00:00:00;Österreich;10;8858775;181;591;363;4,097632;0;1;0;15
14.03.2020 00:00:00;Burgenland;1;293433;0;9;5;1,703966;0;0;0;0
14.03.2020 00:00:00;Kärnten;2;560939;1;5;3;0,5348175;0;0;0;0
14.03.2020 00:00:00;Niederösterreich;3;1677542;31;111;57;3,397829;0;0;0;1
14.03.2020 00:00:00;Oberösterreich;4;1482095;52;154;101;6,814678;0;0;1;3
14.03.2020 00:00:00;Salzburg;5;555221;17;40;17;3,061844;0;0;0;4
14.03.2020 00:00:00;Steiermark;6;1243052;20;82;56;4,505041;0;0;0;0
